"ID","ID PERS","ID ORGA","Colonne à ignorer","Intitulé","Début fonction","Fin fonction","Util adr parent","Rue","Numéro","Complément d'adresse","Code postal","Localité","Tél (1 numéro!)","Tél portable","Fax","Courriel","Site web","Région","Pays","usages","defaults","signature_number","UID"
1,1,1,,"Président",,,,,,,,,,,,,,,,"present","assemblyMember",2,
2,2,1,,"Vice-Président",,,,,,,,,,,,,,,,"present","assemblyMember",,
3,3,1,,"Vice-Président",,,,,,,,,,,,,,,,"present","assemblyMember",,
4,4,1,,"Administrateur",,,,,,,,,,,,,,,,"present","assemblyMember",,
5,5,1,,"Administratrice",,,,,,,,,,,,,,,,"present","assemblyMember",,
6,6,1,,"Administrateur",,,,,,,,,,,,,,,,"present","assemblyMember",,
7,7,2,,"Administrateur",,,,,,,,,,,,,,,,"present","assemblyMember",,
8,8,3,,"Administrateur",,,,,,,,,,,,,,,,"present","assemblyMember",,
9,9,4,,"Administrateur",,,,,,,,,,,,,,,,"present","assemblyMember",,
10,10,4,,"Administrateur",,,,,,,,,,,,,,,,"present","assemblyMember",,
11,11,4,,"Administrateur",,,,,,,,,,,,,,,,"present","assemblyMember",,
12,12,5,,"Directeur Général du BEP",,,,,,,,,,,,,,,,"present","assemblyMember",1,
13,13,5,,"Directeur du Département Secrétariat Général du BEP",,,,,,,,,,,,,,,,"present","assemblyMember",,
14,14,5,,"du Département Développement Économique du BEP",,,,,,,,,,,,,,,,"present","assemblyMember",,
15,15,1,,"Administrateur",,,,,,,,,,,,,,,,"present","assemblyMember",,
16,16,1,,"Vice-Président",,,,,,,,,,,,,,,,"present","assemblyMember",,
17,17,1,,"Administratrice",,,,,,,,,,,,,,,,"present","assemblyMember",,
18,18,1,,"Administrateur",,,,,,,,,,,,,,,,"present","assemblyMember",,
19,19,1,,"Administrateur",,,,,,,,,,,,,,,,"present","assemblyMember",,
20,20,1,,"Administrateur",,,,,,,,,,,,,,,,"present","assemblyMember",,
21,21,1,,"Administrateur",,,,,,,,,,,,,,,,"present","assemblyMember",,
22,22,1,,"Administrateur",,,,,,,,,,,,,,,,"present","assemblyMember",,
23,23,1,,"Président",,,,,,,,,,,,,,,,"present","assemblyMember",2,
24,24,1,,"Administrateur",,,,,,,,,,,,,,,,"present","assemblyMember",,
25,25,1,,"Administrateur",,,,,,,,,,,,,,,,"present","assemblyMember",,
26,26,1,,"Administrateur",,,,,,,,,,,,,,,,"present","assemblyMember",,
27,27,4,,"Administrateur",,,,,,,,,,,,,,,,"present","assemblyMember",,
28,28,4,,"Administrateur",,,,,,,,,,,,,,,,"present","assemblyMember",,
29,29,4,,"Administrateur",,,,,,,,,,,,,,,,"present","assemblyMember",,
30,30,4,,"Administrateur",,,,,,,,,,,,,,,,"present","assemblyMember",,
31,31,4,,"Administrateur",,,,,,,,,,,,,,,,"present","assemblyMember",,
32,32,4,,"Administratrice",,,,,,,,,,,,,,,,"present","assemblyMember",,
33,33,4,,"Administrateur",,,,,,,,,,,,,,,,"present","assemblyMember",,
34,34,5,,"Directeur du Département Informatique du BEP",,,,,,,,,,,,,,,,"present","assemblyMember",,
35,35,5,,"Gestionnaire du secrétariat des Intercommunales du BEP",,,,,,,,,,,,,,,,"present","assemblyMember",,