"ID","ID Parent","Intitulé","Acronyme","Description","Type","Util adr parent","Rue","Numéro","Complément d'adresse","Code postal","Localité","Tél","Tél portable","Fax","Courriel","Site web","Région","Pays","UID"
2,,Formation - Institut provincial de formation du hainaut,IPFH,Institut provincial de formation du hainaut,,,,,,,,,,,,,,,
3,,Formation - IPFH - Académie de police,APPH,IPFH - Académie de police,,,,,,,,,,,,,,,
4,,Formation - IPFH - Ecole des secouristes ambulanciers,EPSAH,IPFH - Ecole des secouristes ambulanciers,,,,,,,,,,,,,,,
5,,Formation - IPFH - Ecole du feu,EPFH,IPFH - Ecole du feu,,,,,,,,,,,,,,,
6,,Formation - IPFH - Ecole d'administration,EA,IPFH - Ecole d'administration,,,,,,,,,,,,,,,
7,,Formation - IPFH - Appui psychologique aux intervenants,APPIH,IPFH - Appui psychologique aux intervenants,,,,,,,,,,,,,,,
8,,Enseignement - Hainaut Enseignement,HE,Hainaut Enseignement,,,,,,,,,,,,,,,
9,,Enseignement - Direction générale des enseignements du hainaut,DGEH,Direction générale des enseignements du hainaut,,,,,,,,,,,,,,,
10,,Enseignement - Direction générale regionale des enseignements du centre,DGRCE,Direction générale regionale des enseignements du centre,,,,,,,,,,,,,,,
11,,Enseignement - Athénée provincial mixte warocque,APC,Athénée provincial mixte warocque,,,,,,,,,,,,,,,
12,,Enseignement - Athénée provincial - La Louviere ,APLL ,Athénée provincial - La Louviere ,,,,,,,,,,,,,,,
13,,Enseignement - Ecole fondamentale provinciale d'application de morlanwelz,EPAM,Ecole fondamentale provinciale d'application de morlanwelz,,,,,,,,,,,,,,,
14,,Enseignement - Institut provincial d'enseignement Charles Deliège,IPCD,Institut provincial d'enseignement Charles Deliège,,,,,,,,,,,,,,,
15,,Enseignement - Institut provincial d'enseignement de promotion sociale - Binche - Carnières - Morlanwelz,IPEPS,Institut provincial d'enseignement de promotion sociale - Binche - Carnières - Morlanwelz,,,,,,,,,,,,,,,
16,,Enseignement - Institut provincial d'enseignement secondaire leon hurez - La Louviere,IPESLHLL,Institut provincial d'enseignement secondaire leon hurez - La Louviere,,,,,,,,,,,,,,,
17,,Enseignement - Institut provincial de nursing du centre,IPNC,Institut provincial de nursing du centre,,,,,,,,,,,,,,,
18,,Enseignement - Institut provincial des arts et metiers du centre,IPAMPS,Institut provincial des arts et metiers du centre,,,,,,,,,,,,,,,
19,,Enseignement - Institut technique et agricole de Soignies,ITASPS,Institut technique et agricole de Soignies,,,,,,,,,,,,,,,
20,,Enseignement - Lycee provincial des sciences et des technologies,LPST,Lycee provincial des sciences et des technologies,,,,,,,,,,,,,,,
21,,Enseignement - Centre d'éducation et de formation en alternance - La Louvière,CEFALL,Centre d'éducation et de formation en alternance - La Louvière,,,,,,,,,,,,,,,
22,,Enseignement - Ecole industrielle et commerciale d'Ecaussinnes,EICE,Ecole industrielle et commerciale d'Ecaussinnes,,,,,,,,,,,,,,,
23,,Enseignement - Direction générale régionale des enseignements de Charleroi,DGRCH,Direction générale régionale des enseignements de Charleroi,,,,,,,,,,,,,,,
24,,Enseignement - Institut d'enseignement technique et professionnel de promotion sociale,IPETP-FARCIENNES,Institut d'enseignement technique et professionnel de promotion sociale,,,,,,,,,,,,,,,
25,,Enseignement - Institut provincial d'enseignement secondaire paramedical - La samaritaine,SAMA,Institut provincial d'enseignement secondaire paramedical - La samaritaine,,,,,,,,,,,,,,,
26,,Enseignement - Institut provincial supérieur des sciences sociales et pédagogiques,IPSMAPS,Institut provincial supérieur des sciences sociales et pédagogiques,,,,,,,,,,,,,,,
27,,Enseignement - Institut supérieur industriel de promotion sociale,ISIPS,Institut supérieur industriel de promotion sociale,,,,,,,,,,,,,,,
28,,Enseignement - Universite du travail - Institut d'enseignement technique secondaire,IETS,Universite du travail - Institut d'enseignement technique secondaire,,,,,,,,,,,,,,,
29,,Enseignement - Universite du travail - Institut jean jaures,IJJ,Universite du travail - Institut jean jaures,,,,,,,,,,,,,,,
30,,Enseignement - Centre d'éducation et de formation en alternance - Charleroi,CEFA Charleroi,Centre d'éducation et de formation en alternance - Charleroi,,,,,,,,,,,,,,,
31,,Enseignement - Universite du travail - Institut d'enseignement technique secondaire ps,IETSPS,Universite du travail - Institut d'enseignement technique secondaire ps,,,,,,,,,,,,,,,
32,,Enseignement - Universite du travail - Institut d'enseignement technique commercial - ps,IETCPS,Universite du travail - Institut d'enseignement technique commercial - ps,,,,,,,,,,,,,,,
33,,Enseignement - Direction générale régionale des enseignements de wallonie picarde,DGRWAPI,Direction générale régionale des enseignements de wallonie picarde,,,,,,,,,,,,,,,
34,,Enseignement - Athénée provincial - Leuze,APL,Athénée provincial - Leuze,,,,,,,,,,,,,,,
35,,Enseignement - Centre d'éducation et de formation en alternance - Ath / Tournai,CEFA ATH-TOURNAI,Centre d'éducation et de formation en alternance - Ath / Tournai,,,,,,,,,,,,,,,
36,,Enseignement - Institut d'enseignement secondaire provincial paramedical - Tournai,IESPPT,Institut d'enseignement secondaire provincial paramedical - Tournai,,,,,,,,,,,,,,,
37,,Enseignement - Institut provincial d'enseignement secondaire - Ath,IPES ATH,Institut provincial d'enseignement secondaire - Ath,,,,,,,,,,,,,,,
38,,Enseignement - Institut provincial d'enseignement secondaire - Tournai,IPES TOURNAI,Institut provincial d'enseignement secondaire - Tournai,,,,,,,,,,,,,,,
39,,Enseignement - Institut provincial d'enseignement de promotion sociale de wallonie picarde - Leuze,IPEPS WAPI,Institut provincial d'enseignement de promotion sociale de wallonie picarde - Leuze,,,,,,,,,,,,,,,
40,,Enseignement - Direction générale régionale des enseignements de Mons-Borinage,DGRMB,Direction générale régionale des enseignements de Mons-Borinage,,,,,,,,,,,,,,,
41,,Enseignement - Académie Provinciale des métiers,APM,Académie Provinciale des métiers,,,,,,,,,,,,,,,
42,,Enseignement - Athénée provincial Jean d'Avesnes,APJA,Athénée provincial Jean d'Avesnes,,,,,,,,,,,,,,,
43,,Enseignement - Centre d'éducation et de formation en alternance - Mons,CEFA MONS,Centre d'éducation et de formation en alternance - Mons,,,,,,,,,,,,,,,
44,,Enseignement - &,CMAH,Cours des métiers d'art du hainaut - Mons,,,,,,,,,,,,,,,
45,,Enseignement - Ecole du futur,EDF,Ecole du futur,,,,,,,,,,,,,,,
46,,Enseignement - Institut d'enseignement secondaire paramédical provincial - Mons,IESPPM,Institut d'enseignement secondaire paramédical provincial - Mons,,,,,,,,,,,,,,,
47,,Enseignement - Lycee provincial Hornu Colfontaine,LPHC,Lycee provincial Hornu Colfontaine,,,,,,,,,,,,,,,
48,,Enseignement - Lycee provincial d'enseignement technique du hainaut - Saint-Ghislain,LETH,Lycee provincial d'enseignement technique du hainaut - Saint-Ghislain,,,,,,,,,,,,,,,
49,,Enseignement - Promotion sociale secondaire de Mons-Borinage,PROMSOC SEC,Promotion sociale secondaire de Mons-Borinage,,,,,,,,,,,,,,,
50,,Enseignement - Promotion sociale superieur de Mons-Borinage,PROMSOC SUP,Promotion sociale superieur de Mons-Borinage,,,,,,,,,,,,,,,
51,,Enseignement - Haute école provinciale de hainaut - Condorcet,HEPH CONDORCET,Haute école provinciale de hainaut - Condorcet,,,,,,,,,,,,,,,
52,,Enseignement - Centre psycho médico social - Ath,CPMS ATH,Centre psycho médico social - Ath,,,,,,,,,,,,,,,
53,,Enseignement - Centre psycho médico social - Binche,CPMS BINCHE,Centre psycho médico social - Binche,,,,,,,,,,,,,,,
54,,Enseignement - Centre psycho médico social - Charleroi 1,CPMS CHARLEROI1,Centre psycho médico social - Charleroi 1,,,,,,,,,,,,,,,
55,,Enseignement - Centre psycho médico social - Charleroi 2,CPMS CHARLEROI2,Centre psycho médico social - Charleroi 2,,,,,,,,,,,,,,,
56,,Enseignement - Centre psycho médico social - Charleroi 3,CPMS CHARLEROI3,Centre psycho médico social - Charleroi 3,,,,,,,,,,,,,,,
57,,Enseignement - Centre psycho médico social - La Louvière,CPMS LALOUVIERE,Centre psycho médico social - La Louvière,,,,,,,,,,,,,,,
58,,Enseignement - Centre psycho médico social - Mons 1,CPMS MONS1,Centre psycho médico social - Mons 1,,,,,,,,,,,,,,,
59,,Enseignement - Centre psycho médico social - Mons 2,CPMS MONS2,Centre psycho médico social - Mons 2,,,,,,,,,,,,,,,
60,,Enseignement - Centre psycho médico social - Morlanwelz,CPMS MORLANWELZ,Centre psycho médico social - Morlanwelz,,,,,,,,,,,,,,,
61,,Enseignement - Centre psycho médico social - Mouscron,CPMS MOUSCRON,Centre psycho médico social - Mouscron,,,,,,,,,,,,,,,
62,,Enseignement - Centre psycho médico social - Peruwelz,CPMS PERUWELZ,Centre psycho médico social - Peruwelz,,,,,,,,,,,,,,,
63,,Enseignement - Centre psycho médico social - Saint-Ghislain,CPMS SAINT-GHISL,Centre psycho médico social - Saint-Ghislain,,,,,,,,,,,,,,,
64,,Enseignement - Centre psycho médico social - Soignies,CPMS SOIGNIES,Centre psycho médico social - Soignies,,,,,,,,,,,,,,,
65,,Enseignement - Centre psycho médico social - Thuin,CPMS THUIN,Centre psycho médico social - Thuin,,,,,,,,,,,,,,,
66,,Enseignement - Centre psycho médico social - Tournai,CPMS TOURNAI,Centre psycho médico social - Tournai,,,,,,,,,,,,,,,
67,,Enseignement - Centre psycho médico social pour l'enseignement spécialisé - La Louvière,CPMSS LA LOUVIERE,Centre psycho médico social pour l'enseignement spécialisé - La Louvière,,,,,,,,,,,,,,,
68,,Enseignement - Centre psycho médico social pour l'enseignement spécialisé - Marcinelle,CPMSS MARCINELLE,Centre psycho médico social pour l'enseignement spécialisé - Marcinelle,,,,,,,,,,,,,,,
69,,Social - Direction generale de l'action sociale,DGAS,Direction generale de l'action sociale,,,,,,,,,,,,,,,
70,,Social - Service provincial de santé mentale,SPSM,Service provincial de santé mentale,,,,,,,,,,,,,,,
71,,Social - Service provincial de santé mentale - Implantation de Ath,SPSM ATH,Service provincial de santé mentale - Implantation de Ath,,,,,,,,,,,,,,,
72,,Social - Service provincial de santé mentale - Implantation de Binche,SPSM BINCHE,Service provincial de santé mentale - Implantation de Binche,,,,,,,,,,,,,,,
73,,Social - Service provincial de santé mentale - Implantation de Charleroi,SPSM CHARLEROI,Service provincial de santé mentale - Implantation de Charleroi,,,,,,,,,,,,,,,
74,,Social - Service provincial de santé mentale - Implantation de Colfontaine,SPSM COLFONTAINE,Service provincial de santé mentale - Implantation de Colfontaine,,,,,,,,,,,,,,,
75,,Social - Service provincial de santé mentale - Implantation de Courcelles,SPSM COURCELLES,Service provincial de santé mentale - Implantation de Courcelles,,,,,,,,,,,,,,,
76,,Social - Service provincial de santé mentale - Implantation de Mons,SPSM MONS,Service provincial de santé mentale - Implantation de Mons,,,,,,,,,,,,,,,
77,,Social - Service provincial de santé mentale - Implantation de Mouscron,SPSM MOUSCRON,Service provincial de santé mentale - Implantation de Mouscron,,,,,,,,,,,,,,,
78,,Social - Service provincial de santé mentale - Implantation de Saint-Ghislain,SPSM SAINT-GHISL,Service provincial de santé mentale - Implantation de Saint-Ghislain,,,,,,,,,,,,,,,
79,,Social - Service provincial de santé mentale - Implantation de Tournai,SPSM TOURNAI,Service provincial de santé mentale - Implantation de Tournai,,,,,,,,,,,,,,,
80,,Social - Entreprise de travail adapté,ETA,Entreprise de travail adapté,,,,,,,,,,,,,,,
81,,Social - Entreprise de travail adapté - Le relais de la haute sambre,ETA RHS,Entreprise de travail adapté - Le relais de la haute sambre,,,,,,,,,,,,,,,
82,,Social - Entreprise de travail adapté - Le roseau vert,ETA ROSEAUVERT,Entreprise de travail adapté - Le roseau vert,,,,,,,,,,,,,,,
83,,Social - Entreprise de travail adapté - Les criquelions,ETA CRIQUELIONS,Entreprise de travail adapté - Les criquelions,,,,,,,,,,,,,,,
84,,Social - Entreprise de travail adapté - Metalgroup,ETA METALGROUP,Entreprise de travail adapté - Metalgroup,,,,,,,,,,,,,,,
85,,Social - Entreprise de travail adapté - Moulin de la hunelle,ETA HUNELLE,Entreprise de travail adapté - Moulin de la hunelle,,,,,,,,,,,,,,,
86,,Social - Centre Arthur Régniers - Institut médico-pédagogique,CAR,Centre Arthur Régniers - Institut médico-pédagogique,,,,,,,,,,,,,,,
87,,Social - Centre Provincial d'enseignement spécialisé à Mons,CPESM,Centre Provincial d'enseignement spécialisé à Mons,,,,,,,,,,,,,,,
88,,Social - CPESM - enseignement fondamental - Orée du Bois,CPESM - EF,CPESM - enseignement fondamental - Orée du Bois,,,,,,,,,,,,,,,
89,,Social - CPESM - enseignement fondamental spécialisé,CPESM - EFS,CPESM - enseignement fondamental spécialisé,,,,,,,,,,,,,,,
90,,Social - CPESM - enseignement secondaire spécialisé,CPESM - ESS,CPESM - enseignement secondaire spécialisé,,,,,,,,,,,,,,,
91,,Social - Ecole Clinique,EC,Ecole Clinique,,,,,,,,,,,,,,,
92,,Social - EC - enseignement fondamental spécialisé,EC - EFS,EC - enseignement fondamental spécialisé,,,,,,,,,,,,,,,
93,,Social - EC - enseignement secondaire spécialisé,EC - ESS,EC - enseignement secondaire spécialisé,,,,,,,,,,,,,,,
94,,Social - Institut médico-pédagogique Le roseau vert,IMP ROSEAU VERT,Institut médico-pédagogique Le roseau vert,,,,,,,,,,,,,,,
95,,Social - Institut médico-pédagogique René Thône de la Louviere,IMP LA LOUVIERE,Institut médico-pédagogique René Thône de la Louviere,,,,,,,,,,,,,,,
96,,Social - IMP LLV - enseignement fondamental spécialisé,IMP LLV EFS,IMP LLV - enseignement fondamental spécialisé,,,,,,,,,,,,,,,
97,,Social - IMP LLV - enseignement secondaire spécialisé,IMP LLV ESS,IMP LLV - enseignement secondaire spécialisé,,,,,,,,,,,,,,,
98,,Social - Institut médico-pédagogique Rene Thône de Marchienne-au-pont,IMP MARCHIENNE,Institut médico-pédagogique Rene Thône de Marchienne-au-pont,,,,,,,,,,,,,,,
99,,Social - IMP MaP - enseignement fondamental spécialisé,IMP MaP EFS,IMP MaP - enseignement fondamental spécialisé,,,,,,,,,,,,,,,
100,,Social - IMP MaP - enseignement secondaire spécialisé,IMP MaP ESS,IMP MaP - enseignement secondaire spécialisé,,,,,,,,,,,,,,,
101,,Social - Institut médico-pédagogique Rene Thône de Marcinelle,IMP MARCINELLE,Institut médico-pédagogique Rene Thône de Marcinelle,,,,,,,,,,,,,,,
102,,Social - IMP Marc - enseignement fondamental spécialisé,IMP Marc EFS,IMP Marc - enseignement fondamental spécialisé,,,,,,,,,,,,,,,
103,,Social - IMP Marc - enseignement secondaire spécialisé,IMP Marc ESS,IMP Marc - enseignement secondaire spécialisé,,,,,,,,,,,,,,,
104,,Social - Les Tourelles,SAAE TOURELLES,Les Tourelles,,,,,,,,,,,,,,,
105,,Social - Services d'aide en milieu de vie provinciaux,SAMVP,Services d'aide en milieu de vie provinciaux,,,,,,,,,,,,,,,
106,,Social - SAMVP - Service d'accueil familial - Mons,SAF MONS,SAMVP - Service d'accueil familial - Mons,,,,,,,,,,,,,,,
107,,Social - SAMVP - Service d'aide precoce - Charleroi,SAP CHARLEROI,SAMVP - Service d'aide precoce - Charleroi,,,,,,,,,,,,,,,
108,,Social - SAMVP - Service d'aide precoce - Lobbes,SAP LOBBES,SAMVP - Service d'aide precoce - Lobbes,,,,,,,,,,,,,,,
109,,Social - SAMVP - Service d'aide précoce - Mons,SAP MONS,SAMVP - Service d'aide précoce - Mons,,,,,,,,,,,,,,,
110,,Social - SAMVP - Service d'aide précoce - Tournai,SAP TOURNAI,SAMVP - Service d'aide précoce - Tournai,,,,,,,,,,,,,,,
111,,Social - SAMVP - Service d'accompagnement pour handicapes adultes - Mons,SACPH MONS,SAMVP - Service d'accompagnement pour handicapes adultes - Mons,,,,,,,,,,,,,,,
112,,Social - SAMVP - Service d'accompagnement pour handicapes adultes - Mont-sur-Marchienne,SACPH M-S-MARCH,SAMVP - Service d'accompagnement pour handicapes adultes - Mont-sur-Marchienne,,,,,,,,,,,,,,,
113,,Social - Service d'accompagnement pour handicapes adultes - Tournai,SACPH TOURNAI,Service d'accompagnement pour handicapes adultes - Tournai,,,,,,,,,,,,,,,
114,,Cult / Tour - Hainaut Culture Tourisme,HCT,Hainaut Culture Tourisme,,,,,,,,,,,,,,,
115,,Cult / Tour - HCT - Secteur Education permanente et jeunesse,HCT-SEP,HCT - Secteur Education permanente et jeunesse,,,,,,,,,,,,,,,
116,,Cult / Tour - HCT - Secteur Littérature (Maison Losseau),HCT-SL,HCT - Secteur Littérature (Maison Losseau),,,,,,,,,,,,,,,
117,,Cult / Tour - HCT - Secteur des Arts plastiques,HCT-SAP,HCT - Secteur des Arts plastiques,,,,,,,,,,,,,,,
118,,Cult / Tour - HCT - Secteur Bibliothèque,HCT-SB,HCT - Secteur Bibliothèque,,,,,,,,,,,,,,,
119,,Cult / Tour - HCT - Secteur audiovisuel et musique,HCT-SAV,HCT - Secteur audiovisuel et musique,,,,,,,,,,,,,,,
120,,Cult / Tour - HCT - Secteur Cinéma,HCT-SC,HCT - Secteur Cinéma,,,,,,,,,,,,,,,
121,,Cult / Tour - HCT - Secteur Arts de la scène (Fabrique de Théâtre),HCT-SAS,HCT - Secteur Arts de la scène (Fabrique de Théâtre),,,,,,,,,,,,,,,
122,,Cult / Tour - HCT - Espaces muséaux (Grand Hornu),HCT-GH,HCT - Espaces muséaux (Grand Hornu),,,,,,,,,,,,,,,
123,,Cult / Tour - HCT - Espaces muséaux (BPS22),HCT-BPS22,HCT - Espaces muséaux (BPS22),,,,,,,,,,,,,,,
124,,HDT / sports - Hainaut sports,HS,Hainaut sports,,,,,,,,,,,,,,,
125,,HDT / sports - Hainaut développement territorial,HDT,Hainaut développement territorial,,,,,,,,,,,,,,,
126,,HDT / sports - Hainaut vigilance sanitaire,HVS,Hainaut vigilance sanitaire,,,,,,,,,,,,,,,
127,,HDT / sports - Cepesi,CEPESI,Cepesi,,,,,,,,,,,,,,,
128,,"HDT / sports - Centre pour la recherche, l'économie et la promotion agricole",CREPA,"Centre pour la recherche, l'économie et la promotion agricole",,,,,,,,,,,,,,,
129,,HDT / sports - Hainaut developpement,HD,Hainaut developpement,,,,,,,,,,,,,,,
130,,HDT / sports - Hainaut ingenierie technique,HIT,Hainaut ingenierie technique,,,,,,,,,,,,,,,
131,,HDT / sports - Observatoire de la sante du hainaut,OSH,Observatoire de la sante du hainaut,,,,,,,,,,,,,,,
132,,Services d'appui - Services transversaux stratégiques,,Services transversaux stratégiques,,,,,,,,,,,,,,,
133,,Services d'appui - STS - Direction générale,STS-DG,STS - Direction générale,,,,,,,,,,,,,,,
134,,Services d'appui - STS - Inspection générale des Ressources humaines,STS-IGRH,STS - Inspection générale des Ressources humaines,,,,,,,,,,,,,,,
135,,Services d'appui - STS - Inspection générale des finances,STS-IGF,STS - Inspection générale des finances,,,,,,,,,,,,,,,
136,,Services d'appui - STS - Service des Relations extérieures,STS-RELEXT,STS - Service des Relations extérieures,,,,,,,,,,,,,,,
137,,Services d'appui - STS - Communication,STS-COM,STS - Communication,,,,,,,,,,,,,,,
138,,Services d'appui - STS - Hainaut Concept Impression,HCI,STS - Hainaut Concept Impression,,,,,,,,,,,,,,,
139,,Services d'appui - Hainaut gestion du Patrimoine,HGP,Hainaut gestion du Patrimoine,,,,,,,,,,,,,,,
140,,Services d'appui - Services d'entretien et maintenance,SEM,Services d'entretien et maintenance,,,,,,,,,,,,,,,
141,,Services d'appui - Direction générale des systèmes d'information,DGSI,Direction générale des systèmes d'information,,,,,,,,,,,,,,,
142,,Services d'appui - Audit interne provincial,AIP,Audit interne provincial,,,,,,,,,,,,,,,
143,,Services d'appui - Service interne de prévention de de protection au travail,SIPPT,Service interne de prévention de de protection au travail,,,,,,,,,,,,,,,
144,,ASBL cat 1 - Amélioration du bien-être des handicapés du Centre Arthur Régniers (ABEHCAR ASBL),ABEHCAR,Amélioration du bien-être des handicapés du Centre Arthur Régniers (ABEHCAR ASBL),,,,,,,,,,,,,,,
145,,ASBL cat 1 - Association pour la Gestion et l'Exploitation touristiques et sportives des Voies d'Eau du Hainaut (VEH ASBL),VEH,Association pour la Gestion et l'Exploitation touristiques et sportives des Voies d'Eau du Hainaut (VEH ASBL),,,,,,,,,,,,,,,
146,,ASBL cat 1 - BPS 22 Musée d'Art de la Province de Hainaut (BPS22 ASBL),BPS22,BPS 22 Musée d'Art de la Province de Hainaut (BPS22 ASBL),,,,,,,,,,,,,,,
147,,ASBL cat 1 - Centre de Documentation et de Recherches Sociales du Hainaut (CEDORES ASBL),CEDORES,Centre de Documentation et de Recherches Sociales du Hainaut (CEDORES ASBL),,,,,,,,,,,,,,,
148,,ASBL cat 1 - Centre de l'Innovation et du Design (CID ASBL),CID,Centre de l'Innovation et du Design (CID ASBL),,,,,,,,,,,,,,,
149,,"ASBL cat 1 - Centre de Recherches, d'Essais et de Contrôles scientifiques et techniques pour l'Industrie Textile (CRECIT ASBL)",CRECIT,"Centre de Recherches, d'Essais et de Contrôles scientifiques et techniques pour l'Industrie Textile (CRECIT ASBL)",,,,,,,,,,,,,,,
150,,ASBL cat 1 - Centre Informatique du Hainaut (CIH ASBL),CIH,Centre Informatique du Hainaut (CIH ASBL),,,,,,,,,,,,,,,
151,,ASBL cat 1 - Centre pour l'Agronomie et l'Agro-Industrie de la Province de Hainaut (CARAH ASBL),CARAH,Centre pour l'Agronomie et l'Agro-Industrie de la Province de Hainaut (CARAH ASBL),,,,,,,,,,,,,,,
152,,ASBL cat 1 - Centre Provincial d'Essais Industriels de Charleroi (CEPESI ASBL),CEPESI,Centre Provincial d'Essais Industriels de Charleroi (CEPESI ASBL),,,,,,,,,,,,,,,
153,,ASBL cat 1 - Centres Provinciaux d'Hébergement et de Formation de Cadres du Hainaut (ASBL),CPHFCH,Centres Provinciaux d'Hébergement et de Formation de Cadres du Hainaut (ASBL),,,,,,,,,,,,,,,
154,,ASBL cat 1 - ETA Atelier Social Le Roseau Vert (ASBL),ETA ROSEAUVERT ASBL,ETA Atelier Social Le Roseau Vert (ASBL),,,,,,,,,,,,,,,
155,,ASBL cat 1 - ETA Criquelions services (ASBL),ETA CRIQUELIONS ASBL,ETA Criquelions services (ASBL),,,,,,,,,,,,,,,
156,,ASBL cat 1 - ETA Le Moulin de la Hunelle (ASBL),ETA MOULIN HUNELLE ASBL,ETA Le Moulin de la Hunelle (ASBL),,,,,,,,,,,,,,,
157,,ASBL cat 1 - ETA Le Relais de la Haute Sambre (ASBL),ETA RHS ASBL,ETA Le Relais de la Haute Sambre (ASBL),,,,,,,,,,,,,,,
158,,ASBL cat 1 - ETA Metalgroup (ASBL),ETA METALGROUP ASBL,ETA Metalgroup (ASBL),,,,,,,,,,,,,,,
